"de_temperature","de_radiation_direct_horizontal","de_radiation_diffuse_horizontal","timestamp","id","de_solar_generation_prediction"
"7","0","62","2024-02-01 11:10:00+00",1501,"1800.8803092202033"
"7","0","66","2024-02-01 11:15:00+00",1502,"2202.1941671898057"
"7","0","79","2024-02-01 11:20:00+00",1503,"2453.8915940959614"
"7","0","99","2024-02-01 11:25:00+00",1504,"3171.5040406885337"
"7","0","112","2024-02-01 11:30:00+00",1505,"3507.8952726637694"
"7","0","109","2024-02-01 11:35:00+00",1506,"3507.8952726637694"
"7","0","66","2024-02-01 11:40:00+00",1507,"2202.1941671898057"
"7","0","67","2024-02-01 11:45:00+00",1508,"2202.1941671898057"
"7","0","65","2024-02-01 11:50:00+00",1509,"2202.1941671898057"
"7","0","55","2024-02-01 11:55:00+00",1510,"1800.8803092202033"
"7","0","60","2024-02-01 12:00:00+00",1511,"1800.8803092202033"
"7","0","77","2024-02-01 12:05:00+00",1512,"2453.8915940959614"
"7","0","86","2024-02-01 12:10:00+00",1513,"2574.8615367123402"
"7","0","94","2024-02-01 12:15:00+00",1514,"3171.5040406885337"
"7","0","101","2024-02-01 12:20:00+00",1515,"3421.158040807508"
"7","0","101","2024-02-01 12:25:00+00",1516,"3421.158040807508"
"7","0","90","2024-02-01 12:30:00+00",1517,"2910.5803900597057"
"7","0","79","2024-02-01 12:35:00+00",1518,"2453.8915940959614"
"6","0","55","2024-02-01 12:40:00+00",1519,"1847.3403306784112"
"6","0","42","2024-02-01 12:45:00+00",1520,"1154.966254231189"
"6","0","39","2024-02-01 12:50:00+00",1521,"1154.966254231189"
"6","0","55","2024-02-01 12:55:00+00",1522,"1847.3403306784112"
"6","0","58","2024-02-01 13:00:00+00",1523,"1847.3403306784112"
"6","0","52","2024-02-01 13:05:00+00",1524,"1487.4893439850048"
"6","0","56","2024-02-01 13:10:00+00",1525,"1847.3403306784112"
"6","0","50","2024-02-01 13:15:00+00",1526,"1487.4893439850048"
"6","0","31","2024-02-01 13:20:00+00",1527,"832.489848775821"
"6","0","28","2024-02-01 13:25:00+00",1528,"832.489848775821"
"6","0","31","2024-02-01 13:30:00+00",1529,"832.489848775821"
"6","0","30","2024-02-01 13:35:00+00",1530,"832.489848775821"
"6","0","27","2024-02-01 13:40:00+00",1531,"832.489848775821"
"6","0","26","2024-02-01 13:45:00+00",1532,"832.489848775821"
"6","0","13","2024-02-01 13:50:00+00",1533,"416.218928865409"
"6","0","10","2024-02-01 13:55:00+00",1534,"325.56010034520204"
"6","0","11","2024-02-01 14:00:00+00",1535,"325.56010034520204"
"6","0","10","2024-02-01 14:05:00+00",1536,"325.56010034520204"
"6","0","20","2024-02-01 14:10:00+00",1537,"416.218928865409"
"6","0","9","2024-02-01 14:15:00+00",1538,"325.56010034520204"
"6","0","10","2024-02-01 14:20:00+00",1539,"325.56010034520204"
"6","0","19","2024-02-01 14:25:00+00",1540,"416.218928865409"
"6","0","22","2024-02-01 14:30:00+00",1541,"832.489848775821"
"6","0","15","2024-02-01 14:35:00+00",1542,"416.218928865409"
"6","0","17","2024-02-01 14:40:00+00",1543,"416.218928865409"
"6","0","12","2024-02-01 14:45:00+00",1544,"416.218928865409"
"6","0","10","2024-02-01 14:50:00+00",1545,"325.56010034520204"
"6","0","7","2024-02-01 14:55:00+00",1546,"325.56010034520204"
"6","0","6","2024-02-01 15:00:00+00",1547,"128.98651753012655"
"6","0","4","2024-02-01 15:05:00+00",1548,"128.98651753012655"
"6","0","2","2024-02-01 15:10:00+00",1549,"91.75963472167496"
"6","0","0","2024-02-01 15:15:00+00",1550,"0"
"6","0","0","2024-02-01 15:20:00+00",1551,"0"
"6","0","0","2024-02-01 15:25:00+00",1552,"0"
"6","0","0","2024-02-01 15:30:00+00",1553,"0"
"6","0","0","2024-02-01 15:35:00+00",1554,"0"
"6","0","0","2024-02-01 15:40:00+00",1555,"0"
"6","0","0","2024-02-01 15:45:00+00",1556,"0"
"6","0","0","2024-02-01 15:50:00+00",1557,"0"
"6","0","0","2024-02-01 15:55:00+00",1558,"0"
"6","0","0","2024-02-01 16:00:00+00",1559,"0"
"6","0","0","2024-02-01 16:05:00+00",1560,"0"
"6","0","0","2024-02-01 16:10:00+00",1561,"0"
"6","0","0","2024-02-01 16:15:00+00",1562,"0"
"6","0","0","2024-02-01 16:20:00+00",1563,"0"
"6","0","0","2024-02-01 16:25:00+00",1564,"0"
"6","0","0","2024-02-01 16:30:00+00",1565,"0"
"6","0","0","2024-02-01 16:35:00+00",1566,"0"
"6","0","0","2024-02-01 16:40:00+00",1567,"0"
"6","0","0","2024-02-01 16:45:00+00",1568,"0"
"6","0","0","2024-02-01 16:50:00+00",1569,"0"
"5","0","0","2024-02-01 16:55:00+00",1570,"0"
"5","0","0","2024-02-01 17:00:00+00",1571,"0"
"5","0","0","2024-02-01 17:05:00+00",1572,"0"
"5","0","0","2024-02-01 17:10:00+00",1573,"0"
"5","0","0","2024-02-01 17:15:00+00",1574,"0"
"5","0","0","2024-02-01 17:20:00+00",1575,"0"
"5","0","0","2024-02-01 17:25:00+00",1576,"0"
"5","0","0","2024-02-01 17:30:00+00",1577,"0"
"5","0","0","2024-02-01 17:35:00+00",1578,"0"
"5","0","0","2024-02-01 17:40:00+00",1579,"0"
"5","0","0","2024-02-01 17:45:00+00",1580,"0"
"5","0","0","2024-02-01 17:50:00+00",1581,"0"
"5","0","0","2024-02-01 17:55:00+00",1582,"0"
"5","0","0","2024-02-01 18:00:00+00",1583,"0"
"5","0","0","2024-02-01 18:05:00+00",1584,"0"
"5","0","0","2024-02-01 18:10:00+00",1585,"0"
"5","0","0","2024-02-01 18:15:00+00",1586,"0"
"5","0","0","2024-02-01 18:20:00+00",1587,"0"
"5","0","0","2024-02-01 18:25:00+00",1588,"0"
"5","0","0","2024-02-01 18:30:00+00",1589,"0"
"5","0","0","2024-02-01 18:35:00+00",1590,"0"
"5","0","0","2024-02-01 18:40:00+00",1591,"0"
"5","0","0","2024-02-01 18:45:00+00",1592,"0"
"5","0","0","2024-02-01 18:50:00+00",1593,"0"
"5","0","0","2024-02-01 18:55:00+00",1594,"0"
"5","0","0","2024-02-01 19:00:00+00",1595,"0"
"5","0","0","2024-02-01 19:05:00+00",1596,"0"
"5","0","0","2024-02-01 19:10:00+00",1597,"0"
"5","0","0","2024-02-01 19:15:00+00",1598,"0"
"5","0","0","2024-02-01 19:20:00+00",1599,"0"
"5","0","0","2024-02-01 19:25:00+00",1600,"0"
"5","0","0","2024-02-01 19:30:00+00",1601,"0"
"5","0","0","2024-02-01 19:35:00+00",1602,"0"
"5","0","0","2024-02-01 19:40:00+00",1603,"0"
"5","0","0","2024-02-01 19:45:00+00",1604,"0"
"5","0","0","2024-02-01 19:50:00+00",1605,"0"
"5","0","0","2024-02-01 19:55:00+00",1606,"0"
"5","0","0","2024-02-01 20:00:00+00",1607,"0"
"5","0","0","2024-02-01 20:05:00+00",1608,"0"
"5","0","0","2024-02-01 20:10:00+00",1609,"0"
"5","0","0","2024-02-01 20:15:00+00",1610,"0"
"5","0","0","2024-02-01 20:20:00+00",1611,"0"
